epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.352,1.57951,2.27993,1.55673,0.65227,0.09487,0.47097,0.27749,1.32323,2.3905,1.52055,0.000329365,0.000329365,0.0673929
2,271.755,1.53229,1.63956,1.50499,0.62708,0.56277,0.62993,0.35315,1.54068,1.37032,1.68464,0.000656138,0.000656138,0.0343863
3,369.438,1.51551,1.46451,1.46881,0.56116,0.6569,0.61214,0.38716,1.35852,2.68763,1.53549,0.00097631,0.00097631,0.00137314
4,466.86,1.54097,1.45617,1.4891,0.70006,0.6309,0.74074,0.37787,1.6422,1.3297,1.7653,0.0009703,0.0009703,0.0009703
5,565.001,1.5078,1.35037,1.45547,0.76079,0.75508,0.8301,0.46642,1.45413,1.22538,1.5662,0.0009604,0.0009604,0.0009604
6,662.412,1.47672,1.33327,1.44563,0.75438,0.73108,0.80346,0.47713,1.34847,1.19428,1.46737,0.0009505,0.0009505,0.0009505
7,759.846,1.44845,1.24825,1.43129,0.65472,0.81628,0.86121,0.5318,1.33148,1.08125,1.45627,0.0009406,0.0009406,0.0009406
8,857.164,1.44808,1.2356,1.44336,0.75298,0.88268,0.87851,0.54491,1.30176,0.91213,1.44322,0.0009307,0.0009307,0.0009307
9,954.492,1.40876,1.15711,1.40339,0.76477,0.82179,0.86113,0.53133,1.32503,0.93469,1.46396,0.0009208,0.0009208,0.0009208
10,1051.83,1.39712,1.1577,1.39402,0.85574,0.84867,0.90731,0.57455,1.28034,0.79621,1.46581,0.0009109,0.0009109,0.0009109
11,1149.11,1.41399,1.17941,1.40697,0.81431,0.88606,0.89653,0.56343,1.32749,0.80484,1.43803,0.000901,0.000901,0.000901
12,1253.14,1.39593,1.11511,1.39761,0.87196,0.82451,0.8924,0.54786,1.3089,0.8329,1.44753,0.0008911,0.0008911,0.0008911
13,1357.65,1.40301,1.14875,1.39522,0.8043,0.87379,0.90306,0.5749,1.25393,0.80296,1.38992,0.0008812,0.0008812,0.0008812
14,1462.25,1.41709,1.09654,1.41349,0.86146,0.86971,0.92119,0.57999,1.32233,0.71673,1.42552,0.0008713,0.0008713,0.0008713
15,1566.84,1.37979,1.0867,1.38873,0.89934,0.80222,0.89659,0.57625,1.29914,0.76938,1.42751,0.0008614,0.0008614,0.0008614
16,1671.59,1.38284,1.11646,1.39326,0.88254,0.85874,0.92867,0.58703,1.29523,0.73189,1.41021,0.0008515,0.0008515,0.0008515
17,1776.22,1.32423,1.02437,1.34698,0.80218,0.88926,0.91348,0.60204,1.22173,0.74499,1.38615,0.0008416,0.0008416,0.0008416
18,1882.17,1.3556,1.02556,1.36454,0.77854,0.84847,0.85407,0.51139,1.35666,0.86787,1.46993,0.0008317,0.0008317,0.0008317
19,1988.98,1.35332,1.01234,1.37062,0.88442,0.8939,0.93288,0.62056,1.24414,0.68327,1.39521,0.0008218,0.0008218,0.0008218
20,3724.3,1.32318,1.00554,1.34281,0.85357,0.80629,0.91239,0.56903,1.32769,0.7406,1.44359,0.0008119,0.0008119,0.0008119
21,3744.01,1.3438,1.02326,1.35904,0.91942,0.84474,0.92503,0.61207,1.27024,0.66264,1.40733,0.000802,0.000802,0.000802
22,3763.78,1.33368,1.00972,1.34128,0.82378,0.90774,0.91111,0.59042,1.24889,0.66774,1.40422,0.0007921,0.0007921,0.0007921
23,3783.51,1.32381,0.95407,1.33958,0.91942,0.88957,0.94804,0.62929,1.22023,0.64812,1.38245,0.0007822,0.0007822,0.0007822
24,3803.24,1.35159,0.98015,1.35046,0.83485,0.85072,0.90805,0.58877,1.27197,0.69874,1.40057,0.0007723,0.0007723,0.0007723
25,3822.99,1.30524,0.95102,1.33675,0.82495,0.87707,0.89771,0.59364,1.25734,0.71404,1.38372,0.0007624,0.0007624,0.0007624
26,3842.77,1.29057,0.93759,1.3414,0.88703,0.89828,0.9218,0.60727,1.26564,0.65287,1.37935,0.0007525,0.0007525,0.0007525
27,3862.52,1.32943,0.9424,1.35302,0.88056,0.91131,0.9143,0.59483,1.25215,0.64275,1.36828,0.0007426,0.0007426,0.0007426
28,3882.29,1.27238,0.95267,1.31562,0.86249,0.88065,0.90013,0.58369,1.25069,0.69876,1.403,0.0007327,0.0007327,0.0007327
29,3902.11,1.3068,0.94679,1.33729,0.91292,0.91573,0.93233,0.61715,1.22267,0.60249,1.35037,0.0007228,0.0007228,0.0007228
30,3922,1.28488,0.93606,1.32343,0.90162,0.90905,0.94887,0.60615,1.31391,0.61279,1.41035,0.0007129,0.0007129,0.0007129
31,3941.86,1.26136,0.91506,1.30587,0.9123,0.88127,0.94402,0.62321,1.2399,0.60474,1.37767,0.000703,0.000703,0.000703
32,3961.69,1.2795,0.88975,1.32725,0.90835,0.93086,0.94737,0.64303,1.19252,0.5834,1.34691,0.0006931,0.0006931,0.0006931
33,3981.61,1.2663,0.87859,1.31623,0.85273,0.89543,0.9374,0.61017,1.26449,0.64896,1.39103,0.0006832,0.0006832,0.0006832
34,4001.47,1.25788,0.84868,1.29668,0.87589,0.89819,0.91636,0.57988,1.25033,0.64374,1.37372,0.0006733,0.0006733,0.0006733
35,4021.34,1.24736,0.88202,1.30013,0.93427,0.89493,0.95196,0.64067,1.21555,0.58048,1.35388,0.0006634,0.0006634,0.0006634
36,4041.21,1.30805,0.92896,1.3269,0.90578,0.84402,0.91945,0.62809,1.21212,0.60872,1.35651,0.0006535,0.0006535,0.0006535
37,4061.03,1.24891,0.85127,1.29728,0.87513,0.93497,0.93751,0.62718,1.20446,0.5818,1.34393,0.0006436,0.0006436,0.0006436
38,4080.84,1.24391,0.83751,1.29736,0.91328,0.91437,0.93612,0.62074,1.2303,0.57255,1.3647,0.0006337,0.0006337,0.0006337
39,4100.7,1.23417,0.84607,1.29049,0.8544,0.94528,0.95098,0.62624,1.25222,0.57398,1.37938,0.0006238,0.0006238,0.0006238
40,4120.49,1.25248,0.85515,1.29107,0.88032,0.84758,0.92315,0.60837,1.27449,0.6332,1.39334,0.0006139,0.0006139,0.0006139
41,4140.33,1.2284,0.84129,1.30216,0.87991,0.94503,0.95982,0.65223,1.20029,0.56016,1.35697,0.000604,0.000604,0.000604
42,4160.19,1.24095,0.82885,1.29437,0.91097,0.93077,0.95663,0.64923,1.16496,0.54349,1.32303,0.0005941,0.0005941,0.0005941
43,4180.01,1.24564,0.83442,1.29273,0.87077,0.94584,0.95776,0.64564,1.18648,0.55144,1.33865,0.0005842,0.0005842,0.0005842
44,4199.89,1.26615,0.83734,1.30347,0.8734,0.94074,0.94842,0.64931,1.18741,0.558,1.34311,0.0005743,0.0005743,0.0005743
45,4219.76,1.22269,0.81314,1.28887,0.92253,0.93007,0.94505,0.61469,1.23127,0.55429,1.3652,0.0005644,0.0005644,0.0005644
46,4239.61,1.22863,0.79354,1.29518,0.91947,0.9299,0.95576,0.64945,1.20209,0.53617,1.33785,0.0005545,0.0005545,0.0005545
47,4259.47,1.20736,0.78842,1.27205,0.90099,0.91339,0.93629,0.63466,1.18536,0.54627,1.3336,0.0005446,0.0005446,0.0005446
48,4279.35,1.2163,0.8032,1.28533,0.88597,0.93514,0.95249,0.6537,1.17288,0.53447,1.32619,0.0005347,0.0005347,0.0005347
49,4299.22,1.22268,0.81135,1.28752,0.88219,0.93804,0.94113,0.63547,1.19161,0.55449,1.3431,0.0005248,0.0005248,0.0005248
50,4319.2,1.22271,0.8159,1.28807,0.90413,0.92319,0.92523,0.6162,1.25206,0.57748,1.38372,0.0005149,0.0005149,0.0005149
51,4339.06,1.19315,0.78349,1.26623,0.90611,0.91671,0.94965,0.64514,1.16782,0.5519,1.32645,0.000505,0.000505,0.000505
52,4358.87,1.21673,0.79916,1.28401,0.91226,0.91954,0.95563,0.64635,1.20473,0.55129,1.34654,0.0004951,0.0004951,0.0004951
53,4378.69,1.20254,0.78124,1.27261,0.93306,0.92591,0.9561,0.63836,1.2041,0.52728,1.3459,0.0004852,0.0004852,0.0004852
54,4398.56,1.20841,0.79341,1.28252,0.88879,0.95783,0.96244,0.6585,1.14069,0.515,1.30433,0.0004753,0.0004753,0.0004753
55,4418.38,1.19496,0.76191,1.26609,0.89957,0.92037,0.9511,0.63373,1.1945,0.5497,1.33696,0.0004654,0.0004654,0.0004654
56,4438.32,1.23216,0.79015,1.28107,0.88864,0.92947,0.95581,0.63199,1.2369,0.54375,1.35881,0.0004555,0.0004555,0.0004555
57,4458.16,1.20022,0.75086,1.26418,0.89726,0.94665,0.94749,0.6531,1.18079,0.51397,1.33642,0.0004456,0.0004456,0.0004456
58,4478.04,1.18434,0.75046,1.26121,0.95299,0.88588,0.95139,0.6611,1.17046,0.50746,1.32424,0.0004357,0.0004357,0.0004357
59,4497.96,1.17713,0.74728,1.25579,0.90538,0.89017,0.92592,0.64242,1.15533,0.56913,1.31557,0.0004258,0.0004258,0.0004258
60,4517.83,1.16798,0.73529,1.25325,0.91571,0.94138,0.96314,0.66109,1.17541,0.49066,1.33451,0.0004159,0.0004159,0.0004159
61,4537.66,1.15718,0.74714,1.25372,0.89932,0.9269,0.94297,0.65307,1.14732,0.52343,1.31805,0.000406,0.000406,0.000406
62,4557.48,1.15039,0.71966,1.2421,0.91229,0.9096,0.94417,0.65409,1.16913,0.52901,1.32737,0.0003961,0.0003961,0.0003961
63,4577.37,1.15755,0.72996,1.24977,0.89774,0.95983,0.9434,0.64709,1.16713,0.51499,1.32494,0.0003862,0.0003862,0.0003862
64,4597.31,1.18036,0.74561,1.26532,0.92256,0.92172,0.94126,0.63598,1.20785,0.53516,1.34417,0.0003763,0.0003763,0.0003763
65,4617.44,1.14316,0.7079,1.24714,0.91939,0.92886,0.95115,0.64635,1.16244,0.52339,1.31735,0.0003664,0.0003664,0.0003664
66,4638.45,1.16967,0.7507,1.25773,0.91454,0.94714,0.94846,0.64452,1.19919,0.53813,1.3496,0.0003565,0.0003565,0.0003565
67,4658.27,1.14344,0.71514,1.24334,0.9122,0.92477,0.95286,0.63146,1.23503,0.55335,1.37806,0.0003466,0.0003466,0.0003466
68,4678.09,1.12361,0.70343,1.23562,0.91796,0.93589,0.93781,0.64343,1.15453,0.52976,1.33227,0.0003367,0.0003367,0.0003367
69,4697.9,1.14388,0.70102,1.24459,0.89417,0.95356,0.9542,0.64284,1.17602,0.50986,1.32921,0.0003268,0.0003268,0.0003268
70,4717.7,1.12662,0.71124,1.23247,0.91705,0.93593,0.96323,0.66759,1.15633,0.49861,1.3085,0.0003169,0.0003169,0.0003169
71,4737.52,1.15521,0.69652,1.24688,0.91575,0.95159,0.93979,0.6551,1.15566,0.50902,1.32038,0.000307,0.000307,0.000307
72,4757.34,1.14366,0.70049,1.2505,0.91507,0.91788,0.9426,0.6449,1.1739,0.53916,1.32659,0.0002971,0.0002971,0.0002971
73,4777.13,1.13362,0.69884,1.2364,0.91111,0.9239,0.94254,0.64867,1.15644,0.53932,1.30701,0.0002872,0.0002872,0.0002872
74,4796.96,1.13941,0.70337,1.24426,0.89509,0.91836,0.94507,0.64873,1.15061,0.53392,1.31636,0.0002773,0.0002773,0.0002773
75,4816.74,1.12589,0.67857,1.22324,0.90271,0.9092,0.94125,0.63982,1.15374,0.52077,1.31641,0.0002674,0.0002674,0.0002674
76,4836.68,1.12668,0.69312,1.22627,0.92347,0.94677,0.93209,0.64517,1.16209,0.52768,1.32012,0.0002575,0.0002575,0.0002575
77,4856.53,1.12969,0.69625,1.23415,0.91778,0.93345,0.95618,0.66386,1.14376,0.50881,1.30877,0.0002476,0.0002476,0.0002476
78,4876.33,1.10961,0.67535,1.22213,0.89356,0.93617,0.95478,0.65775,1.1712,0.51205,1.33004,0.0002377,0.0002377,0.0002377
79,4896.15,1.08998,0.66786,1.21985,0.91397,0.9196,0.94767,0.65077,1.15191,0.50374,1.31124,0.0002278,0.0002278,0.0002278
80,4916,1.11641,0.67034,1.2277,0.91744,0.93723,0.94199,0.64867,1.15996,0.50235,1.31759,0.0002179,0.0002179,0.0002179
81,4935.79,1.11019,0.66975,1.23296,0.91985,0.93461,0.94815,0.65336,1.1524,0.51115,1.31447,0.000208,0.000208,0.000208
82,4955.62,1.10387,0.6572,1.21792,0.91733,0.92836,0.9468,0.659,1.14266,0.51103,1.30877,0.0001981,0.0001981,0.0001981
83,4975.43,1.11839,0.67948,1.22098,0.90696,0.94189,0.94141,0.66179,1.14838,0.50664,1.31904,0.0001882,0.0001882,0.0001882
84,4995.27,1.08687,0.64118,1.20574,0.90462,0.92884,0.95409,0.67726,1.12692,0.49988,1.30106,0.0001783,0.0001783,0.0001783
85,5015.11,1.09126,0.65781,1.21622,0.92265,0.93205,0.94088,0.66371,1.15274,0.50794,1.3167,0.0001684,0.0001684,0.0001684
86,5034.93,1.08344,0.63961,1.20807,0.89063,0.95798,0.95701,0.67555,1.12092,0.48586,1.28716,0.0001585,0.0001585,0.0001585
87,5054.72,1.07904,0.63492,1.21323,0.91819,0.95499,0.95728,0.67759,1.15454,0.49061,1.3132,0.0001486,0.0001486,0.0001486
88,5074.52,1.0887,0.63536,1.20528,0.90928,0.93958,0.95338,0.67031,1.13522,0.49786,1.29728,0.0001387,0.0001387,0.0001387
89,5094.32,1.08186,0.64462,1.20838,0.90118,0.93922,0.95251,0.66046,1.16409,0.49485,1.32058,0.0001288,0.0001288,0.0001288
90,5114.12,1.08054,0.62941,1.2073,0.89493,0.9342,0.95352,0.67232,1.13218,0.48552,1.2958,0.0001189,0.0001189,0.0001189
91,5151.48,1.00999,0.44197,1.2357,0.90431,0.9443,0.95086,0.65722,1.14343,0.49365,1.30603,0.000109,0.000109,0.000109
92,5171.2,0.9946,0.41757,1.21838,0.90907,0.9384,0.95303,0.65832,1.13168,0.4803,1.30224,9.91e-05,9.91e-05,9.91e-05
93,5190.94,0.98669,0.41846,1.22522,0.88402,0.95295,0.95384,0.65937,1.14861,0.48916,1.31078,8.92e-05,8.92e-05,8.92e-05
94,5210.61,0.97999,0.40605,1.21584,0.87967,0.95309,0.94599,0.6524,1.14013,0.49756,1.30884,7.93e-05,7.93e-05,7.93e-05
95,5230.28,0.97416,0.3993,1.21745,0.89641,0.93837,0.94293,0.65721,1.14284,0.49922,1.30515,6.94e-05,6.94e-05,6.94e-05
96,5249.93,0.96595,0.39514,1.20225,0.90575,0.92925,0.94734,0.66285,1.13421,0.49023,1.30515,5.95e-05,5.95e-05,5.95e-05
